Shipment Number,Fulfillment Type,Shipment Created At,Shipment Status,Fulfiller Name,Accepted At,Product Title,EAN,Sku,Qty,MRP,Promotion Amt,Shipping Charge,Item Total,Payment Method Used,Tracking Code,Shipping Agent Code,Invoice Id,Acceptance TAT Date & Time
17539874038411605833J,RFC Shipment,2025-08-01 00:13:24 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 12:49:49 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,Prepaid_Payments,SF1939965545JIM,Shadowfax,S06ENB5AKFA06419,2025-08-01 18:13:24 +0530
17539875351331985930J,RFC Shipment,2025-08-01 00:15:35 +0530,canceled,RRL HR JHJ Luhari 3P RFC,,Jivo Cold Pressed oil Groundnut Oil - 5 Litre | Peanut Oil |Natural Cooking Oil | Chemical Free,,Groundnut oil 5L,0,2800.0,0.0,0.0,0.0,COD,,,,2025-08-01 18:15:35 +0530
17539875351331985930J,RFC Shipment,2025-08-01 00:15:35 +0530,canceled,RRL HR JHJ Luhari 3P RFC,,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,0,1250.0,0.0,0.0,0.0,COD,,,,2025-08-01 18:15:35 +0530
17539878721331603666J,RFC Shipment,2025-08-01 00:21:12 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 11:53:37 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,Prepaid_Payments,115761161071690,Delhivery,S06ENB5AKFA06410,2025-08-01 18:21:12 +0530
17539880323291409670J,RFC Shipment,2025-08-01 00:23:54 +0530,pick_up_confirmed,RRL HR JHJ Luhari 3P RFC,2025-08-01 14:02:34 +0530,"Sano Sunflower Oil 5 Ltr Pet Bottle - Pure, Nutrient-Rich Cooking Oil with High Smoke Point",,Sano_Sunflower_5L,1,1475.0,676.0,0.0,799.0,Prepaid_Payments,115761161352250,Delhivery,S06ENB5AKFA06454,2025-08-01 18:23:54 +0530
17539943302161417861J,RFC Shipment,2025-08-01 02:08:50 +0530,pick_up_confirmed,RRL HR JHJ Luhari 3P RFC,2025-08-01 13:21:27 +0530,"Jivo Extra Virgin Olive Oil, 1L for Dressings, Salad and Soups, Dips & Marinades.",,Extra Virgin Olive Oil 1 ltr,1,1590.0,891.0,0.0,699.0,Prepaid_Payments,115761161080580,Delhivery,S06ENB5AKFA06435,2025-08-01 20:08:50 +0530
17539951678581944476J,RFC Shipment,2025-08-01 02:22:48 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 11:57:03 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,COD,115761161072202,Delhivery,S06ENB5AKFA06411,2025-08-01 20:22:48 +0530
17540149333311685961J,RFC Shipment,2025-08-01 07:52:13 +0530,canceled,RRL HR JHJ Luhari 3P RFC,,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,0,1250.0,0.0,0.0,0.0,COD,,,,2025-08-02 01:52:13 +0530
17540171431261472116J,RFC Shipment,2025-08-01 08:29:03 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 11:32:32 +0530,"Jivo Canola Cold Press Oil, 5 Ltr Healthiest Cooking Oil (Pack of 1)",,5 Ltr Canola,1,1650.0,451.0,0.0,1199.0,Prepaid_Payments,115761161065434,Delhivery,S06ENB5AKFA06403,2025-08-01 11:29:03 +0530
17540172950301134307J,RFC Shipment,2025-08-01 08:31:35 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 12:41:36 +0530,Jivo Gold Refined Oil Blend of Rice Bran oil & Sunflower oil 5 litre,,Jivo Gold_5 Ltr,1,1049.0,199.0,0.0,850.0,Prepaid_Payments,SF1939961073JIM,Shadowfax,S06ENB5AKFA06416,2025-08-01 11:31:35 +0530
17540186543301689159J,RFC Shipment,2025-08-01 08:54:15 +0530,canceled,RRL HR JHJ Luhari 3P RFC,,Jivo Cold Pressed oil Groundnut Oil - 5 Litre | Peanut Oil |Natural Cooking Oil | Chemical Free,,Groundnut oil 5L,0,2800.0,0.0,0.0,0.0,Prepaid_Payments,,,,2025-08-01 11:54:15 +0530
17540197114081970899J,RFC Shipment,2025-08-01 09:11:51 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 13:36:28 +0530,"Jivo Extra Virgin Olive Oil, 1L for Dressings, Salad and Soups, Dips & Marinades.",,Extra Virgin Olive Oil 1 ltr,1,1590.0,891.0,0.0,699.0,Prepaid_Payments,SF1940010590JIM,Shadowfax,S06ENB5AKFA06439,2025-08-01 12:11:51 +0530
17540199735591195743J,RFC Shipment,2025-08-01 09:16:14 +0530,pick_up_confirmed,RRL HR JHJ Luhari 3P RFC,2025-08-01 12:43:24 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,Prepaid_Payments,115761161077916,Delhivery,S06ENB5AKFA06417,2025-08-01 12:16:14 +0530
17540210276711638592J,RFC Shipment,2025-08-01 09:33:48 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 13:37:13 +0530,"Jivo Extra Virgin Olive Oil, 1L for Dressings, Salad and Soups, Dips & Marinades.",,Extra Virgin Olive Oil 1 ltr,1,1590.0,891.0,0.0,699.0,COD,SF1940010813JIM,Shadowfax,S06ENB5AKFA06440,2025-08-01 12:33:48 +0530
17540216210881008835J,RFC Shipment,2025-08-01 09:43:41 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 12:44:50 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,COD,SF1939962810JIM,Shadowfax,S06ENB5AKFA06418,2025-08-01 12:43:41 +0530
17540216850741115899J,RFC Shipment,2025-08-01 09:44:45 +0530,shipment_returned,RRL HR JHJ Luhari 3P RFC,2025-08-01 14:06:10 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,COD,115761161084570,Delhivery,S06ENB5AKFA06456,2025-08-01 12:44:45 +0530
17540219912221098691J,RFC Shipment,2025-08-01 09:49:51 +0530,shipment_returned,RRL HR JHJ Luhari 3P RFC,2025-08-01 14:04:14 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,COD,115761161084393,Delhivery,S06ENB5AKFA06455,2025-08-01 12:49:51 +0530
17540223592811457706J,RFC Shipment,2025-08-01 09:55:59 +0530,shipment_returned,RRL HR JHJ Luhari 3P RFC,2025-08-01 13:43:43 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,Prepaid_Payments,115761161082083,Delhivery,S06ENB5AKFA06442,2025-08-01 12:55:59 +0530
17540223883421461066J,RFC Shipment,2025-08-01 09:56:29 +0530,canceled,RRL HR JHJ Luhari 3P RFC,,"Jivo Extra Virgin Olive Oil, 1L for Dressings, Salad and Soups, Dips & Marinades.",,Extra Virgin Olive Oil 1 ltr,0,1590.0,0.0,0.0,0.0,Prepaid_Payments,,,,2025-08-01 12:56:29 +0530
17540226906271159467J,RFC Shipment,2025-08-01 10:01:31 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 13:45:53 +0530,"Jivo Canola Cold Press Oil, 5 Ltr Healthiest Cooking Oil (Pack of 1)",,5 Ltr Canola,1,1650.0,451.0,0.0,1199.0,COD,SF1940925080JIM,Shadowfax,S06ENB5AKFA06443,2025-08-01 13:01:31 +0530
17540227292311902767J,RFC Shipment,2025-08-01 10:02:09 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 15:56:40 +0530,Jivo Cold Pressed Sunflower Oil  5 Ltr - Chemical free,,Sunflower 5 ltr,1,1350.0,300.0,0.0,1050.0,Prepaid_Payments,115761161094554,Delhivery,S06ENB5AKFA06470,2025-08-01 13:02:09 +0530
17540230187191005929J,RFC Shipment,2025-08-01 10:06:59 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 13:42:08 +0530,"Jivo Canola Cold Press Oil, 5 Ltr Healthiest Cooking Oil (Pack of 1)",,5 Ltr Canola,1,1650.0,451.0,0.0,1199.0,Prepaid_Payments,115761161081943,Delhivery,S06ENB5AKFA06441,2025-08-01 13:06:59 +0530
17540235843991815672J,RFC Shipment,2025-08-01 10:16:25 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 13:26:43 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,Prepaid_Payments,115761161080845,Delhivery,S06ENB5AKFA06436,2025-08-01 13:16:25 +0530
17540240420431312750J,RFC Shipment,2025-08-01 10:24:02 +0530,canceled,RRL HR JHJ Luhari 3P RFC,,Jivo Gold Refined Oil Blend of Rice Bran oil & Sunflower oil 5 litre,,Jivo Gold_5 Ltr,0,1049.0,0.0,0.0,0.0,COD,,,,2025-08-01 13:24:02 +0530
17540254078511747891J,RFC Shipment,2025-08-01 10:46:48 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 13:47:17 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,COD,SF1940925763JIM,Shadowfax,S06ENB5AKFA06444,2025-08-01 13:46:48 +0530
17540256621341150943J,RFC Shipment,2025-08-01 10:51:02 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 13:49:35 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,COD,SF1940927751JIM,Shadowfax,S06ENB5AKFA06445,2025-08-01 13:51:02 +0530
17540265630291031823J,RFC Shipment,2025-08-01 11:06:04 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 13:16:27 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,COD,SF1939993842JIM,Shadowfax,S06ENB5AKFA06431,2025-08-01 14:06:04 +0530
17540267240001421442J,RFC Shipment,2025-08-01 11:08:44 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 14:16:39 +0530,"Sano Sunflower Oil 5 Ltr Pet Bottle - Pure, Nutrient-Rich Cooking Oil with High Smoke Point",,Sano_Sunflower_5L,1,1475.0,676.0,0.0,799.0,Prepaid_Payments,SF1940945576JIM,Shadowfax,S06ENB5AKFA06460,2025-08-01 14:08:44 +0530
17540268778861205735J,RFC Shipment,2025-08-01 11:11:18 +0530,pick_up_confirmed,RRL HR JHJ Luhari 3P RFC,2025-08-01 13:18:08 +0530,"Jivo Canola Cold Press Oil, 5 Ltr Healthiest Cooking Oil (Pack of 1)",,5 Ltr Canola,1,1650.0,451.0,0.0,1199.0,COD,SF1939994374JIM,Shadowfax,S06ENB5AKFA06433,2025-08-01 14:11:18 +0530
17540270439711395086J,RFC Shipment,2025-08-01 11:14:05 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 14:09:30 +0530,JIVO Soyabean Cooking Oil 5 Ltr (Pack of 1),,Jivo Soyabean Oil 5L,1,1100.0,251.0,0.0,849.0,Prepaid_Payments,14591751709714,Xpressbees Express,S06ENB5AKFA06457,2025-08-01 14:14:05 +0530
17540271193771438293J,RFC Shipment,2025-08-01 11:15:19 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 13:15:20 +0530,"Jivo Extra Virgin Olive Oil, 1L for Dressings, Salad and Soups, Dips & Marinades.",,Extra Virgin Olive Oil 1 ltr,1,1590.0,891.0,0.0,699.0,Prepaid_Payments,115761161080263,Delhivery,S06ENB5AKFA06429,2025-08-01 14:15:19 +0530
17540275992871539362J,RFC Shipment,2025-08-01 11:23:19 +0530,shipment_returned,RRL HR JHJ Luhari 3P RFC,2025-08-01 13:08:45 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,COD,61676522820362J,Ecom Express,S06ENB5AKFA06427,2025-08-01 14:23:19 +0530
17540277316251877227J,RFC Shipment,2025-08-01 11:25:32 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 15:49:38 +0530,Jivo Cold Pressed Sunflower Oil  5 Ltr - Chemical free,,Sunflower 5 ltr,1,1350.0,300.0,0.0,1050.0,COD,115761161093773,Delhivery,S06ENB5AKFA06469,2025-08-01 14:25:32 +0530
17540284659171214488J,RFC Shipment,2025-08-01 11:37:46 +0530,canceled,RRL HR JHJ Luhari 3P RFC,,Jivo Cold Pressed Sunflower Oil  5 Ltr - Chemical free,,Sunflower 5 ltr,0,1350.0,0.0,0.0,0.0,COD,,,,2025-08-01 14:37:46 +0530
17540285299261774613J,RFC Shipment,2025-08-01 11:38:50 +0530,pick_up_confirmed,RRL HR JHJ Luhari 3P RFC,2025-08-01 13:58:22 +0530,"Jivo Extra Virgin Olive Oil, 1L for Dressings, Salad and Soups, Dips & Marinades.",,Extra Virgin Olive Oil 1 ltr,1,1590.0,891.0,0.0,699.0,COD,115761161083903,Delhivery,S06ENB5AKFA06451,2025-08-01 14:38:50 +0530
17540287753671333068J,RFC Shipment,2025-08-01 11:42:56 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 13:02:52 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,COD,115761161079213,Delhivery,S06ENB5AKFA06426,2025-08-01 14:42:56 +0530
17540294077361980709J,RFC Shipment,2025-08-01 11:53:28 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 14:21:19 +0530,"Sano Sunflower Oil 5 Ltr Pet Bottle - Pure, Nutrient-Rich Cooking Oil with High Smoke Point",,Sano_Sunflower_5L,1,1475.0,676.0,0.0,799.0,COD,115761161085620,Delhivery,S06ENB5AKFA06461,2025-08-01 14:53:28 +0530
17540295722341964783J,RFC Shipment,2025-08-01 11:56:13 +0530,pick_up_confirmed,RRL HR JHJ Luhari 3P RFC,2025-08-01 13:12:26 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,Prepaid_Payments,SF1939992655JIM,Shadowfax,S06ENB5AKFA06428,2025-08-01 14:56:13 +0530
17540297190921501414J,RFC Shipment,2025-08-01 11:58:39 +0530,shipment_returned,RRL HR JHJ Luhari 3P RFC,2025-08-01 16:09:59 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,2,1250.0,802.0,0.0,1698.0,COD,SF1941074622JIM,Shadowfax,S06ENB5AKFA06475,2025-08-01 14:58:39 +0530
17540306418171317871J,RFC Shipment,2025-08-01 12:14:02 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 13:01:28 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,COD,115761161079132,Delhivery,S06ENB5AKFA06425,2025-08-01 15:14:02 +0530
17540313550591707559J,RFC Shipment,2025-08-01 12:25:55 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 13:51:12 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,COD,115761161082551,Delhivery,S06ENB5AKFA06446,2025-08-01 15:25:55 +0530
17540313682081267928J,RFC Shipment,2025-08-01 12:26:08 +0530,shipment_returned,RRL HR JHJ Luhari 3P RFC,2025-08-01 13:56:03 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,COD,115761161083542,Delhivery,S06ENB5AKFA06449,2025-08-01 15:26:08 +0530
17540315099531206866J,RFC Shipment,2025-08-01 12:28:30 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 13:52:53 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,Prepaid_Payments,SF1940929708JIM,Shadowfax,S06ENB5AKFA06447,2025-08-01 15:28:30 +0530
17540323853061268411J,RFC Shipment,2025-08-01 12:43:06 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 13:21:04 +0530,Jivo Cold Pressed oil Groundnut Oil - 5 Litre | Peanut Oil |Natural Cooking Oil | Chemical Free,,Groundnut oil 5L,1,2800.0,1601.0,0.0,1199.0,Prepaid_Payments,115761161080576,Delhivery,S06ENB5AKFA06434,2025-08-01 15:43:06 +0530
17540330842531099207J,RFC Shipment,2025-08-01 12:54:44 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 13:31:02 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,Prepaid_Payments,115761161081125,Delhivery,S06ENB5AKFA06438,2025-08-01 15:54:44 +0530
17540333309491697674J,RFC Shipment,2025-08-01 12:58:51 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 13:29:16 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,COD,SF1939997843JIM,Shadowfax,S06ENB5AKFA06437,2025-08-01 15:58:51 +0530
17540349088561580922J,RFC Shipment,2025-08-01 13:25:10 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 13:58:24 +0530,"Jivo Canola Cold Press Oil, 5 Ltr Healthiest Cooking Oil (Pack of 1)",,5 Ltr Canola,1,1650.0,451.0,0.0,1199.0,COD,SF1940932627JIM,Shadowfax,S06ENB5AKFA06452,2025-08-01 16:25:10 +0530
17540353528901088401J,RFC Shipment,2025-08-01 13:32:33 +0530,shipment_returned,RRL HR JHJ Luhari 3P RFC,2025-08-01 16:14:33 +0530,Jivo Cold Pressed oil Groundnut Oil - 5 Litre | Peanut Oil |Natural Cooking Oil | Chemical Free,,Groundnut oil 5L,1,2800.0,1601.0,0.0,1199.0,Prepaid_Payments,115761161096470,Delhivery,S06ENB5AKFA06477,2025-08-01 16:32:33 +0530
17540353742001099893J,RFC Shipment,2025-08-01 13:32:54 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 14:02:12 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,COD,SF1940935140JIM,Shadowfax,S06ENB5AKFA06453,2025-08-01 16:32:54 +0530
17540356747481679442J,RFC Shipment,2025-08-01 13:37:55 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 15:33:53 +0530,"Jivo Extra Virgin Olive Oil, 1L for Dressings, Salad and Soups, Dips & Marinades.",,Extra Virgin Olive Oil 1 ltr,1,1590.0,891.0,0.0,699.0,COD,SF1941022735JIM,Shadowfax,S06ENB5AKFA06468,2025-08-01 16:37:55 +0530
17540359668841123279J,RFC Shipment,2025-08-01 13:42:47 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 14:52:05 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,COD,115761161088556,Delhivery,S06ENB5AKFA06463,2025-08-01 16:42:47 +0530
17540361039711259195J,RFC Shipment,2025-08-01 13:45:04 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 16:07:53 +0530,Jivo Cold Pressed Sunflower Oil  5 Ltr - Chemical free,,Sunflower 5 ltr,1,1350.0,300.0,0.0,1050.0,COD,SF1941071845JIM,Shadowfax,S06ENB5AKFA06474,2025-08-01 16:45:04 +0530
17540363135081001883J,RFC Shipment,2025-08-01 13:48:35 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 17:00:20 +0530,"Sano Sunflower Oil 5 Ltr Pet Bottle - Pure, Nutrient-Rich Cooking Oil with High Smoke Point",,Sano_Sunflower_5L,1,1475.0,676.0,0.0,799.0,Prepaid_Payments,115761161099852,Delhivery,S06ENB5AKFA06481,2025-08-01 16:48:35 +0530
17540371176981655826J,RFC Shipment,2025-08-01 14:02:00 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 16:11:59 +0530,Jivo Cold Pressed oil Groundnut Oil - 5 Litre | Peanut Oil |Natural Cooking Oil | Chemical Free,,Groundnut oil 5L,1,2800.0,1601.0,0.0,1199.0,Prepaid_Payments,SF1941075986JIM,Shadowfax,S06ENB5AKFA06476,2025-08-01 17:02:00 +0530
17540372505531090620J,RFC Shipment,2025-08-01 14:04:11 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 14:49:58 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,Prepaid_Payments,SF1940976773JIM,Shadowfax,S06ENB5AKFA06462,2025-08-01 17:04:11 +0530
17540380583711642850J,RFC Shipment,2025-08-01 14:17:39 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 15:58:41 +0530,Jivo Gold Refined Oil Blend of Rice Bran oil & Sunflower oil 5 litre,,Jivo Gold_5 Ltr,1,1049.0,199.0,0.0,850.0,Prepaid_Payments,115761161094926,Delhivery,S06ENB5AKFA06471,2025-08-01 17:17:39 +0530
17540386788871784277J,RFC Shipment,2025-08-01 14:28:00 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 15:29:33 +0530,Jivo Cold Pressed oil Groundnut Oil - 5 Litre | Peanut Oil |Natural Cooking Oil | Chemical Free,,Groundnut oil 5L,1,2800.0,1601.0,0.0,1199.0,COD,115761161092513,Delhivery,S06ENB5AKFA06467,2025-08-01 17:28:00 +0530
17540388060961748343J,RFC Shipment,2025-08-01 14:30:06 +0530,pick_up_confirmed,RRL HR JHJ Luhari 3P RFC,2025-08-01 14:55:59 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,COD,SF1940982261JIM,Shadowfax,S06ENB5AKFA06464,2025-08-01 17:30:06 +0530
17540394065021846582J,RFC Shipment,2025-08-01 14:40:07 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 15:27:48 +0530,Jivo Gold Refined Oil Blend of Rice Bran oil & Sunflower oil 5 litre,,Jivo Gold_5 Ltr,1,1049.0,199.0,0.0,850.0,COD,115761161092233,Delhivery,S06ENB5AKFA06466,2025-08-01 17:40:07 +0530
17540404309381045017J,RFC Shipment,2025-08-01 14:57:11 +0530,shipment_returned,RRL HR JHJ Luhari 3P RFC,2025-08-01 15:25:52 +0530,Jivo Cold Pressed oil Groundnut Oil - 5 Litre | Peanut Oil |Natural Cooking Oil | Chemical Free,,Groundnut oil 5L,1,2800.0,1601.0,0.0,1199.0,Prepaid_Payments,SF1941005942JIM,Shadowfax,S06ENB5AKFA06465,2025-08-01 17:57:11 +0530
17540426636931739756J,RFC Shipment,2025-08-01 15:34:24 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 15:58:46 +0530,Jivo Extra Light Olive Oil 2 Ltr,,Extra Light Olive Oil 2 Ltr,1,1600.0,504.0,0.0,1096.0,COD,115761161094941,Delhivery,S06ENB5AKFA06472,2025-08-01 18:34:24 +0530
17540427435081067734J,RFC Shipment,2025-08-01 15:35:46 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 16:43:08 +0530,Jivo Gold Refined Oil Blend of Rice Bran oil & Sunflower oil 5 litre,,Jivo Gold_5 Ltr,1,1049.0,199.0,0.0,850.0,Prepaid_Payments,115761161098544,Delhivery,S06ENB5AKFA06480,2025-08-01 18:35:46 +0530
17540428339171181028J,RFC Shipment,2025-08-01 15:37:14 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 16:00:06 +0530,"Jivo Olive Oil Extra Light Daily Cooking 5 Litre (TIN) | Recommendable for Roasting, Frying, Baking All type of Cuisines| Low Saturated Fat, Low Saturated Fat",,Jivo Olive Oil Extra Light 5 Litre,1,6499.0,3900.0,0.0,2599.0,Prepaid_Payments,SF1941041661JIM,Shadowfax,S06ENB5AKFA06473,2025-08-01 18:37:14 +0530
17540435987041707300J,RFC Shipment,2025-08-01 15:49:59 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 16:16:07 +0530,"Jivo Canola Cold Press Oil, 5 Ltr Healthiest Cooking Oil (Pack of 1)",,5 Ltr Canola,1,1650.0,451.0,0.0,1199.0,COD,115761161096621,Delhivery,S06ENB5AKFA06478,2025-08-01 18:49:59 +0530
17540436925211996620J,RFC Shipment,2025-08-01 15:51:33 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 16:19:32 +0530,"Jivo Canola Cold Press Oil, 5 Ltr Healthiest Cooking Oil (Pack of 1)",,5 Ltr Canola,1,1650.0,451.0,0.0,1199.0,COD,115761161096842,Delhivery,S06ENB5AKFA06479,2025-08-01 18:51:33 +0530
17540465880001936342J,RFC Shipment,2025-08-01 16:39:48 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-02 10:27:58 +0530,"Jivo Extra Virgin Olive Oil, 1L for Dressings, Salad and Soups, Dips & Marinades.",,Extra Virgin Olive Oil 1 ltr,1,1590.0,891.0,0.0,699.0,COD,115761161178322,Delhivery,S06ENB5AKFA06483,2025-08-02 10:39:48 +0530
17540485767701587700J,RFC Shipment,2025-08-01 17:12:57 +0530,pick_up_confirmed,RRL HR JHJ Luhari 3P RFC,2025-08-02 15:30:01 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,COD,SF1942988518JIM,Shadowfax,S06ENB5AKFA06528,2025-08-02 11:12:57 +0530
17540489711101230369J,RFC Shipment,2025-08-01 17:19:32 +0530,pick_up_confirmed,RRL HR JHJ Luhari 3P RFC,2025-08-02 15:11:43 +0530,Jivo Cold Pressed Sunflower Oil  5 Ltr - Chemical free,,Sunflower 5 ltr,1,1350.0,300.0,0.0,1050.0,COD,115761161232502,Delhivery,S06ENB5AKFA06517,2025-08-02 11:19:32 +0530
17540513782641636011J,RFC Shipment,2025-08-01 17:59:38 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-02 15:18:05 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,485.9,0.0,764.1,Prepaid_Payments,115761161233014,Delhivery,S06ENB5AKFA06523,2025-08-02 11:59:38 +0530
17540515362361473695J,RFC Shipment,2025-08-01 18:02:17 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-02 17:08:40 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,Prepaid_Payments,SF1943269468JIM,Shadowfax,S06ENB5AKFA06566,2025-08-02 12:02:17 +0530
